Game Infos,AmongUs ver.2025.3.25,ExtremeRoles ver.13.0.1.1,Exported on:2025/04/19 14:59:10
別役職の能力を持つか,オフ,AcceleratorIsMultiAssign,0
アサインウェイト,500,AcceleratorAssignWeight,499
インポスターがアサインされるか,オフ,AcceleratorIsAssignImposter,0
インポスターのアサインレート,0％,AcceleratorImposterSelectedRate,0
別の視界設定を持つか,オフ,AcceleratorHasOtherVision,0
ビジョン,2x,AcceleratorVision,7
視界効果を受けるか,オン,AcceleratorApplyEnvironmentVisionEffect,1
別のキルクールタイムを持つか,オフ,AcceleratorHasOtherKillCool,0
キルクールタイム,30秒,AcceleratorKillCoolDown,58
別のキルレンジを持つか,オフ,AcceleratorHasOtherKillRange,0
キルレンジ,ショート,AcceleratorKillRange,0
「加速パネル設置」のクールタイム,30秒,AcceleratorAbilityCoolTime,59
「加速パネル」が設置できる時間,30秒,AcceleratorAbilityActiveTime,59
「加速パネル」の設置個数,3回,AcceleratorAbilityCount,2
「加速パネル」の加速度,1,AcceleratorSpeed,9
「加速パネル」が他の人も使えるか,オン,AcceleratorUseOtherPlayer,1
スポーンレート,100％,SkaterSpawnRate,10
スポーン数,1,SkaterRoleNum,0
1組あたりのアサイン数,1,SkaterAssignsNum,0
別役職の能力を持つか,オフ,SkaterIsMultiAssign,0
アサインウェイト,500,SkaterAssignWeight,499
インポスターがアサインされるか,オフ,SkaterIsAssignImposter,0
インポスターのアサインレート,0％,SkaterImposterSelectedRate,0
別の視界設定を持つか,オフ,SkaterHasOtherVision,0
ビジョン,2x,SkaterVision,7
視界効果を受けるか,オン,SkaterApplyEnvironmentVisionEffect,1
別のキルクールタイムを持つか,オフ,SkaterHasOtherKillCool,0
キルクールタイム,30秒,SkaterKillCoolDown,58
別のキルレンジを持つか,オフ,SkaterHasOtherKillRange,0
キルレンジ,ショート,SkaterKillRange,0
「スケート」のクールタイム,10秒,SkaterAbilityCoolTime,19
「スケート」が解除できるまでの時間,0.5秒,SkaterAbilityActiveTime,0
「スケート」の使用回数,5回,SkaterAbilityCount,4
「スケート」中の加速度,2,SkaterAcceleration,39
「スケート」中の最大速度,15,SkaterMaxSpeed,10
「スケート」中の摩擦係数,-0.5,SkaterFriction,50
「スケート」中の壁衝突によるバウンド,オン,SkaterUseE,1
「スケート」中の衝突係数,1.5,SkaterEValue,150
「スケート」中、使用ボタン等が使用できる最大速度,50,SkaterCanUseSpeed,500
スポーンレート,0％,TraitorSpawnRate,0
スポーン数,1,TraitorRoleNum,0
1組あたりのアサイン数,1,TraitorAssignsNum,0
別役職の能力を持つか,オン,TraitorIsMultiAssign,1
アサインウェイト,500,TraitorAssignWeight,499
別の視界設定を持つか,オフ,TraitorHasOtherVision,0
ビジョン,2x,TraitorVision,7
視界効果を受けるか,オン,TraitorApplyEnvironmentVisionEffect,1
別のキルクールタイムを持つか,オフ,TraitorHasOtherKillCool,0
キルクールタイム,30秒,TraitorKillCoolDown,58
別のキルレンジを持つか,オフ,TraitorHasOtherKillRange,0
キルレンジ,ショート,TraitorKillRange,0
「クラッキング」のクールタイム,30秒,TraitorAbilityCoolTime,59
「クラッキング」の発動可能時間,5秒,TraitorAbilityActiveTime,9
スポーンレート,0％,PoltergeistSpawnRate,0
スポーン数,1,PoltergeistRoleNum,0
アサインウェイト,500,PoltergeistAssignWeight,499
死体を検知できる範囲,1,PoltergeistRange,8
「騒霊」のクールタイム,60秒,PoltergeistAbilityCoolTime,110
「騒霊」によって死体が運べる時間,3秒,PoltergeistAbilityActiveTime,5
「騒霊」の能力発動を報告するか,オン,PoltergeistIsReportAbility,1
「騒霊」の発動可能回数,1回,PoltergeistAbilityCount,0
スポーンレート,0％,FaunusSpawnRate,0
スポーン数,1,FaunusRoleNum,0
アサインウェイト,500,FaunusAssignWeight,499
「恵み」のクールタイム,60秒,FaunusAbilityCoolTime,110
「恵み」によってサボタージュの修理画面が開ける時間,3秒,FaunusAbilityActiveTime,5
「恵み」の能力発動を報告するか,オン,FaunusIsReportAbility,1
「恵み」が発動できる回数,1回,FaunusAbilityCount,0
スポーンレート,0％,ShutterSpawnRate,0
スポーン数,1,ShutterRoleNum,0
アサインウェイト,500,ShutterAssignWeight,499
「心霊撮影」のクールタイム,60秒,ShutterAbilityCoolTime,110
「心霊撮影」の能力発動を報告するか,オン,ShutterIsReportAbility,1
「心霊撮影」が使用できる回数,3回,ShutterAbilityCount,2
「心霊撮影」の範囲,7.5,ShutterPhotoRange,14
「心霊撮影」で名前がぼやけない確率,50％,ShutterRightPlayerNameRate,5
スポーンレート,0％,VentgeistSpawnRate,0
スポーン数,1,VentgeistRoleNum,0
アサインウェイト,500,VentgeistAssignWeight,499
ベントを検知できる範囲,1,VentgeistRange,8
「ベント開閉」のクールタイム,60秒,VentgeistAbilityCoolTime,110
「ベント開閉」の能力発動を報告するか,オン,VentgeistIsReportAbility,1
「ベント開閉」の使用回数,2回,VentgeistAbilityCount,1
スポーンレート,0％,SaboEvilSpawnRate,0
スポーン数,1,SaboEvilRoleNum,0
アサインウェイト,500,SaboEvilAssignWeight,499
「サボリッシュ」のクールタイム,60秒,SaboEvilAbilityCoolTime,110
「サボリッシュ」の能力発動を報告するか,オン,SaboEvilIsReportAbility,1
「サボリッシュ」の発動可能回数,3回,SaboEvilAbilityCount,2
スポーンレート,0％,IgniterSpawnRate,0
スポーン数,1,IgniterRoleNum,0
アサインウェイト,500,IgniterAssignWeight,499
「幽霊停電」のクールタイム,60秒,IgniterAbilityCoolTime,110
「幽霊停電」の発動時間,15秒,IgniterAbilityActiveTime,29
「幽霊停電」の能力発動を報告するか,オン,IgniterIsReportAbility,1
「幽霊停電」の発動可能回数,3回,IgniterAbilityCount,2
インポスターが「幽霊停電」の影響を受けるか,オフ,IgniterIsEffectImpostor,0
ニュートラルが「幽霊停電」の影響を受けるか,オフ,IgniterIsEffectNeutral,0
スポーンレート,0％,DoppelgangerSpawnRate,0
スポーン数,1,DoppelgangerRoleNum,0
アサインウェイト,500,DoppelgangerAssignWeight,499
「ドッペル」のクールタイム,60秒,DoppelgangerAbilityCoolTime,110
「ドッペル」によってダミーが表示できる時間,5秒,DoppelgangerAbilityActiveTime,9
「ドッペル」の能力発動を報告するか,オン,DoppelgangerIsReportAbility,1
「ドッペル」の使用回数,2回,DoppelgangerAbilityCount,1
スポーンレート,0％,ForasSpawnRate,0
スポーン数,1,ForasRoleNum,0
アサインウェイト,500,ForasAssignWeight,499
「リーク」のクールタイム,60秒,ForasAbilityCoolTime,110
「リーク」で表示される矢印の表示秒数,25秒,ForasAbilityActiveTime,49
「リーク」の能力発動を報告するか,オン,ForasIsReportAbility,1
「リーク」が発動できる回数,3回,ForasAbilityCount,2
「リーク」が発動できる範囲,1,ForasRange,9
「リーク」で矢印が表示されるまでの遅延秒数,3秒,ForasDelayTime,6
「リーク」で目標以外のプレイヤーが選択される確率,10％,ForasMissingTargetRate,2
,
BytedRoleAssignModel,
,
BytedVanillaOptions,Normal,9
BytedVanillaOptions,Normal,116
BytedVanillaOptions,Normal,0
BytedVanillaOptions,Normal,0
BytedVanillaOptions,Normal,1
BytedVanillaOptions,Normal,0
BytedVanillaOptions,Normal,100
BytedVanillaOptions,Normal,10
BytedVanillaOptions,Normal,0
BytedVanillaOptions,Normal,1
BytedVanillaOptions,Normal,0
BytedVanillaOptions,Normal,0
BytedVanillaOptions,Normal,4
BytedVanillaOptions,Normal,0
BytedVanillaOptions,Normal,0
BytedVanillaOptions,Normal,64
BytedVanillaOptions,Normal,63
BytedVanillaOptions,Normal,0
BytedVanillaOptions,Normal,0
BytedVanillaOptions,Normal,64
BytedVanillaOptions,Normal,63
BytedVanillaOptions,Normal,0
BytedVanillaOptions,Normal,0
BytedVanillaOptions,Normal,192
BytedVanillaOptions,Normal,63
BytedVanillaOptions,Normal,0
BytedVanillaOptions,Normal,0
BytedVanillaOptions,Normal,200
BytedVanillaOptions,Normal,65
BytedVanillaOptions,Normal,3
BytedVanillaOptions,Normal,1
BytedVanillaOptions,Normal,2
BytedVanillaOptions,Normal,1
BytedVanillaOptions,Normal,0
BytedVanillaOptions,Normal,0
BytedVanillaOptions,Normal,0
BytedVanillaOptions,Normal,3
BytedVanillaOptions,Normal,1
BytedVanillaOptions,Normal,0
BytedVanillaOptions,Normal,0
BytedVanillaOptions,Normal,0
BytedVanillaOptions,Normal,0
BytedVanillaOptions,Normal,120
BytedVanillaOptions,Normal,0
BytedVanillaOptions,Normal,0
BytedVanillaOptions,Normal,0
BytedVanillaOptions,Normal,0
BytedVanillaOptions,Normal,0
BytedVanillaOptions,Normal,0
BytedVanillaOptions,Normal,0
BytedVanillaOptions,Normal,0
BytedVanillaOptions,Normal,1
BytedVanillaOptions,Normal,0
BytedVanillaOptions,Normal,7
BytedVanillaOptions,Normal,5
BytedVanillaOptions,Normal,0
BytedVanillaOptions,Normal,0
BytedVanillaOptions,Normal,0
BytedVanillaOptions,Normal,3
BytedVanillaOptions,Normal,0
BytedVanillaOptions,Normal,0
BytedVanillaOptions,Normal,0
BytedVanillaOptions,Normal,10
BytedVanillaOptions,Normal,8
BytedVanillaOptions,Normal,2
BytedVanillaOptions,Normal,0
BytedVanillaOptions,Normal,0
BytedVanillaOptions,Normal,0
BytedVanillaOptions,Normal,2
BytedVanillaOptions,Normal,0
BytedVanillaOptions,Normal,0
BytedVanillaOptions,Normal,15
BytedVanillaOptions,Normal,5
BytedVanillaOptions,Normal,4
BytedVanillaOptions,Normal,0
BytedVanillaOptions,Normal,0
BytedVanillaOptions,Normal,0
BytedVanillaOptions,Normal,3
BytedVanillaOptions,Normal,0
BytedVanillaOptions,Normal,0
BytedVanillaOptions,Normal,60
BytedVanillaOptions,Normal,10
BytedVanillaOptions,Normal,0
BytedVanillaOptions,Normal,3
BytedVanillaOptions,Normal,0
BytedVanillaOptions,Normal,0
BytedVanillaOptions,Normal,0
BytedVanillaOptions,Normal,2
BytedVanillaOptions,Normal,0
BytedVanillaOptions,Normal,0
BytedVanillaOptions,Normal,30
BytedVanillaOptions,Normal,15
BytedVanillaOptions,Normal,8
BytedVanillaOptions,Normal,0
BytedVanillaOptions,Normal,0
BytedVanillaOptions,Normal,0
BytedVanillaOptions,Normal,2
BytedVanillaOptions,Normal,0
BytedVanillaOptions,Normal,0
BytedVanillaOptions,Normal,10
BytedVanillaOptions,Normal,1
BytedVanillaOptions,Normal,9
BytedVanillaOptions,Normal,0
BytedVanillaOptions,Normal,0
BytedVanillaOptions,Normal,0
BytedVanillaOptions,Normal,2
BytedVanillaOptions,Normal,0
BytedVanillaOptions,Normal,0
BytedVanillaOptions,Normal,15
BytedVanillaOptions,Normal,30
BytedVanillaOptions,Normal,10
BytedVanillaOptions,Normal,0
BytedVanillaOptions,Normal,0
BytedVanillaOptions,Normal,0
BytedVanillaOptions,Normal,3
BytedVanillaOptions,Normal,0
BytedVanillaOptions,Normal,0
BytedVanillaOptions,Normal,15
BytedVanillaOptions,Normal,30
BytedVanillaOptions,Normal,1
BytedVanillaOptions,HideNSeek,9
BytedVanillaOptions,HideNSeek,66
BytedVanillaOptions,HideNSeek,0
BytedVanillaOptions,HideNSeek,0
BytedVanillaOptions,HideNSeek,2
BytedVanillaOptions,HideNSeek,0
BytedVanillaOptions,HideNSeek,0
BytedVanillaOptions,HideNSeek,15
BytedVanillaOptions,HideNSeek,0
BytedVanillaOptions,HideNSeek,1
BytedVanillaOptions,HideNSeek,0
BytedVanillaOptions,HideNSeek,0
BytedVanillaOptions,HideNSeek,0
BytedVanillaOptions,HideNSeek,0
BytedVanillaOptions,HideNSeek,0
BytedVanillaOptions,HideNSeek,128
BytedVanillaOptions,HideNSeek,63
BytedVanillaOptions,HideNSeek,0
BytedVanillaOptions,HideNSeek,0
BytedVanillaOptions,HideNSeek,128
BytedVanillaOptions,HideNSeek,63
BytedVanillaOptions,HideNSeek,0
BytedVanillaOptions,HideNSeek,0
BytedVanillaOptions,HideNSeek,192
BytedVanillaOptions,HideNSeek,63
BytedVanillaOptions,HideNSeek,1
BytedVanillaOptions,HideNSeek,1
BytedVanillaOptions,HideNSeek,2
BytedVanillaOptions,HideNSeek,1
BytedVanillaOptions,HideNSeek,1
BytedVanillaOptions,HideNSeek,0
BytedVanillaOptions,HideNSeek,0
BytedVanillaOptions,HideNSeek,0
BytedVanillaOptions,HideNSeek,0
BytedVanillaOptions,HideNSeek,0
BytedVanillaOptions,HideNSeek,72
BytedVanillaOptions,HideNSeek,67
BytedVanillaOptions,HideNSeek,51
BytedVanillaOptions,HideNSeek,51
BytedVanillaOptions,HideNSeek,179
BytedVanillaOptions,HideNSeek,62
BytedVanillaOptions,HideNSeek,0
BytedVanillaOptions,HideNSeek,0
BytedVanillaOptions,HideNSeek,128
BytedVanillaOptions,HideNSeek,62
BytedVanillaOptions,HideNSeek,1
BytedVanillaOptions,HideNSeek,1
BytedVanillaOptions,HideNSeek,0
BytedVanillaOptions,HideNSeek,0
BytedVanillaOptions,HideNSeek,72
BytedVanillaOptions,HideNSeek,66
BytedVanillaOptions,HideNSeek,154
BytedVanillaOptions,HideNSeek,153
BytedVanillaOptions,HideNSeek,153
BytedVanillaOptions,HideNSeek,63
BytedVanillaOptions,HideNSeek,1
BytedVanillaOptions,HideNSeek,0
BytedVanillaOptions,HideNSeek,255
BytedVanillaOptions,HideNSeek,255
BytedVanillaOptions,HideNSeek,255
BytedVanillaOptions,HideNSeek,255
BytedVanillaOptions,HideNSeek,0
BytedVanillaOptions,HideNSeek,0
BytedVanillaOptions,HideNSeek,192
BytedVanillaOptions,HideNSeek,64
BytedVanillaOptions,HideNSeek,0
BytedVanillaOptions,HideNSeek,0
BytedVanillaOptions,HideNSeek,64
BytedVanillaOptions,HideNSeek,64
BytedVanillaOptions,HideNSeek,0
BytedVanillaOptions,NormalFools,9
BytedVanillaOptions,NormalFools,116
BytedVanillaOptions,NormalFools,0
BytedVanillaOptions,NormalFools,0
BytedVanillaOptions,NormalFools,1
BytedVanillaOptions,NormalFools,0
BytedVanillaOptions,NormalFools,100
BytedVanillaOptions,NormalFools,10
BytedVanillaOptions,NormalFools,0
BytedVanillaOptions,NormalFools,1
BytedVanillaOptions,NormalFools,0
BytedVanillaOptions,NormalFools,0
BytedVanillaOptions,NormalFools,4
BytedVanillaOptions,NormalFools,0
BytedVanillaOptions,NormalFools,0
BytedVanillaOptions,NormalFools,64
BytedVanillaOptions,NormalFools,63
BytedVanillaOptions,NormalFools,0
BytedVanillaOptions,NormalFools,0
BytedVanillaOptions,NormalFools,64
BytedVanillaOptions,NormalFools,63
BytedVanillaOptions,NormalFools,0
BytedVanillaOptions,NormalFools,0
BytedVanillaOptions,NormalFools,192
BytedVanillaOptions,NormalFools,63
BytedVanillaOptions,NormalFools,0
BytedVanillaOptions,NormalFools,0
BytedVanillaOptions,NormalFools,200
BytedVanillaOptions,NormalFools,65
BytedVanillaOptions,NormalFools,3
BytedVanillaOptions,NormalFools,1
BytedVanillaOptions,NormalFools,2
BytedVanillaOptions,NormalFools,1
BytedVanillaOptions,NormalFools,0
BytedVanillaOptions,NormalFools,0
BytedVanillaOptions,NormalFools,0
BytedVanillaOptions,NormalFools,3
BytedVanillaOptions,NormalFools,1
BytedVanillaOptions,NormalFools,0
BytedVanillaOptions,NormalFools,0
BytedVanillaOptions,NormalFools,0
BytedVanillaOptions,NormalFools,0
BytedVanillaOptions,NormalFools,120
BytedVanillaOptions,NormalFools,0
BytedVanillaOptions,NormalFools,0
BytedVanillaOptions,NormalFools,0
BytedVanillaOptions,NormalFools,0
BytedVanillaOptions,NormalFools,0
BytedVanillaOptions,NormalFools,0
BytedVanillaOptions,NormalFools,0
BytedVanillaOptions,NormalFools,0
BytedVanillaOptions,NormalFools,1
BytedVanillaOptions,NormalFools,0
BytedVanillaOptions,NormalFools,7
BytedVanillaOptions,NormalFools,5
BytedVanillaOptions,NormalFools,0
BytedVanillaOptions,NormalFools,0
BytedVanillaOptions,NormalFools,0
BytedVanillaOptions,NormalFools,3
BytedVanillaOptions,NormalFools,0
BytedVanillaOptions,NormalFools,0
BytedVanillaOptions,NormalFools,0
BytedVanillaOptions,NormalFools,10
BytedVanillaOptions,NormalFools,8
BytedVanillaOptions,NormalFools,2
BytedVanillaOptions,NormalFools,0
BytedVanillaOptions,NormalFools,0
BytedVanillaOptions,NormalFools,0
BytedVanillaOptions,NormalFools,2
BytedVanillaOptions,NormalFools,0
BytedVanillaOptions,NormalFools,0
BytedVanillaOptions,NormalFools,15
BytedVanillaOptions,NormalFools,5
BytedVanillaOptions,NormalFools,4
BytedVanillaOptions,NormalFools,0
BytedVanillaOptions,NormalFools,0
BytedVanillaOptions,NormalFools,0
BytedVanillaOptions,NormalFools,3
BytedVanillaOptions,NormalFools,0
BytedVanillaOptions,NormalFools,0
BytedVanillaOptions,NormalFools,60
BytedVanillaOptions,NormalFools,10
BytedVanillaOptions,NormalFools,0
BytedVanillaOptions,NormalFools,3
BytedVanillaOptions,NormalFools,0
BytedVanillaOptions,NormalFools,0
BytedVanillaOptions,NormalFools,0
BytedVanillaOptions,NormalFools,2
BytedVanillaOptions,NormalFools,0
BytedVanillaOptions,NormalFools,0
BytedVanillaOptions,NormalFools,30
BytedVanillaOptions,NormalFools,15
BytedVanillaOptions,NormalFools,8
BytedVanillaOptions,NormalFools,0
BytedVanillaOptions,NormalFools,0
BytedVanillaOptions,NormalFools,0
BytedVanillaOptions,NormalFools,2
BytedVanillaOptions,NormalFools,0
BytedVanillaOptions,NormalFools,0
BytedVanillaOptions,NormalFools,10
BytedVanillaOptions,NormalFools,1
BytedVanillaOptions,NormalFools,9
BytedVanillaOptions,NormalFools,0
BytedVanillaOptions,NormalFools,0
BytedVanillaOptions,NormalFools,0
BytedVanillaOptions,NormalFools,2
BytedVanillaOptions,NormalFools,0
BytedVanillaOptions,NormalFools,0
BytedVanillaOptions,NormalFools,15
BytedVanillaOptions,NormalFools,30
BytedVanillaOptions,NormalFools,10
BytedVanillaOptions,NormalFools,0
BytedVanillaOptions,NormalFools,0
BytedVanillaOptions,NormalFools,0
BytedVanillaOptions,NormalFools,3
BytedVanillaOptions,NormalFools,0
BytedVanillaOptions,NormalFools,0
BytedVanillaOptions,NormalFools,15
BytedVanillaOptions,NormalFools,30
BytedVanillaOptions,NormalFools,1
BytedVanillaOptions,SeekFools,9
BytedVanillaOptions,SeekFools,66
BytedVanillaOptions,SeekFools,0
BytedVanillaOptions,SeekFools,0
BytedVanillaOptions,SeekFools,2
BytedVanillaOptions,SeekFools,0
BytedVanillaOptions,SeekFools,0
BytedVanillaOptions,SeekFools,15
BytedVanillaOptions,SeekFools,0
BytedVanillaOptions,SeekFools,1
BytedVanillaOptions,SeekFools,0
BytedVanillaOptions,SeekFools,0
BytedVanillaOptions,SeekFools,0
BytedVanillaOptions,SeekFools,0
BytedVanillaOptions,SeekFools,0
BytedVanillaOptions,SeekFools,128
BytedVanillaOptions,SeekFools,63
BytedVanillaOptions,SeekFools,0
BytedVanillaOptions,SeekFools,0
BytedVanillaOptions,SeekFools,128
BytedVanillaOptions,SeekFools,63
BytedVanillaOptions,SeekFools,0
BytedVanillaOptions,SeekFools,0
BytedVanillaOptions,SeekFools,192
BytedVanillaOptions,SeekFools,63
BytedVanillaOptions,SeekFools,1
BytedVanillaOptions,SeekFools,1
BytedVanillaOptions,SeekFools,2
BytedVanillaOptions,SeekFools,1
BytedVanillaOptions,SeekFools,1
BytedVanillaOptions,SeekFools,0
BytedVanillaOptions,SeekFools,0
BytedVanillaOptions,SeekFools,0
BytedVanillaOptions,SeekFools,0
BytedVanillaOptions,SeekFools,0
BytedVanillaOptions,SeekFools,72
BytedVanillaOptions,SeekFools,67
BytedVanillaOptions,SeekFools,51
BytedVanillaOptions,SeekFools,51
BytedVanillaOptions,SeekFools,179
BytedVanillaOptions,SeekFools,62
BytedVanillaOptions,SeekFools,0
BytedVanillaOptions,SeekFools,0
BytedVanillaOptions,SeekFools,128
BytedVanillaOptions,SeekFools,62
BytedVanillaOptions,SeekFools,1
BytedVanillaOptions,SeekFools,1
BytedVanillaOptions,SeekFools,0
BytedVanillaOptions,SeekFools,0
BytedVanillaOptions,SeekFools,72
BytedVanillaOptions,SeekFools,66
BytedVanillaOptions,SeekFools,154
BytedVanillaOptions,SeekFools,153
BytedVanillaOptions,SeekFools,153
BytedVanillaOptions,SeekFools,63
BytedVanillaOptions,SeekFools,1
BytedVanillaOptions,SeekFools,0
BytedVanillaOptions,SeekFools,255
BytedVanillaOptions,SeekFools,255
BytedVanillaOptions,SeekFools,255
BytedVanillaOptions,SeekFools,255
BytedVanillaOptions,SeekFools,0
BytedVanillaOptions,SeekFools,0
BytedVanillaOptions,SeekFools,192
BytedVanillaOptions,SeekFools,64
BytedVanillaOptions,SeekFools,0
BytedVanillaOptions,SeekFools,0
BytedVanillaOptions,SeekFools,64
BytedVanillaOptions,SeekFools,64
BytedVanillaOptions,SeekFools,0
